  - 144 Binary Tree Preorder Traversal  39.1% Medium
  - 268 Missing Number  39.3% Medium
  - 319 Bulb Switcher  39.6% Medium
  - 122 Best Time to Buy and Sell Stock II  41.6% Medium
  - 238 Product of Array Except Self  41.7% Medium
  - 260 Single Number III  42.8% Medium
  - 136 Single Number  48.8% Medium
  - ~~347 Top K Frequent Elements 43.9% Median~~
  - 8 String to Integer (atoi)  13.4% Easy
  - 165 Compare Version Numbers  17.0% Easy
  - 189 Rotate Array  20.6% Easy
  - 168 Excel Sheet Column Title  21.0% Easy
  - 155 Min Stack  21.6% Easy
  - 278 First Bad Version  21.9% Easy
  - 228 Summary Ranges  23.4% Easy
  - 125 Valid Palindrome  23.4% Easy
  - 6 ZigZag Conversion  23.4% Easy
  - 204 Count Primes  23.6% Easy
  - 7 Reverse Integer  23.6% Easy
  - 28 Implement strStr()  24.4% Easy
  - 303 Range Sum Query - Immutable  24.5% Easy
  - 67 Add Binary  26.8% Easy
  - 234 Palindrome Linked List  27.2% Easy
  - 257 Binary Tree Paths  27.3% Easy
  - 14 Longest Common Prefix  27.5% Easy
  - 203 Remove Linked List Elements  28.0% Easy
  - 38 Count and Say  28.2% Easy
  - 290 Word Pattern  28.3% Easy
  - 299 Bulls and Cows  28.7% Easy
  - 205 Isomorphic Strings  28.8% Easy
  - ~~58 Length of Last Word  28.8% Easy~~
  - 20 Valid Parentheses  28.8% Easy
  - 19 Remove Nth Node From End of List  28.8% Easy
  - 190 Reverse Bits  29.1% Easy
  - 223 Rectangle Area  29.2% Easy
  - 219 Contains Duplicate II  29.3% Easy
  - 36 Valid Sudoku  29.8% Easy
  - 88 Merge Sorted Array  29.9% Easy
  - 160 Intersection of Two Linked Lists  30.1% Easy
  - 111 Minimum Depth of Binary Tree  30.3% Easy
  - 225 Implement Stack using Queues  30.5% Easy
  - 112 Path Sum  30.9% Easy
  - 9 Palindrome Number  31.0% Easy
  - 119 Pascal's Triangle II  31.6% Easy
  - 172 Factorial Trailing Zeroes  31.9% Easy
  - 102 Binary Tree Level Order Traversal  32.0% Easy
  - 118 Pascal's Triangle  32.6% Easy
  - 66 Plus One  32.8% Easy
  - 26 Remove Duplicates from Sorted Array  32.9% Easy
  - 27 Remove Element  33.0% Easy
  - 107 Binary Tree Level Order Traversal II  33.3% Easy
  - 198 House Robber  33.4% Easy
  - 101 Symmetric Tree  33.4% Easy
  - 110 Balanced Binary Tree  33.6% Easy
  - 232 Implement Queue using Stacks  33.9% Easy
  - ~~21 Merge Two Sorted Lists  34.8% Easy~~
  - 231 Power of Two  35.4% Easy
  - ~~326 Power of Three  35.8% Easy~~
  - 202 Happy Number  35.8% Easy (******)
  - 263 Ugly Number  35.9% Easy
  - 70 Climbing Stairs  36.2% Easy
  - 83 Remove Duplicates from Sorted List  36.3% Easy
  - ~~328 Odd Even Linked List  37.5% Easy~~
  - 191 Number of 1 Bits  37.6% Easy
  - 235 Lowest Common Ancestor of a Binary Search Tree  38.0% Easy
  - 13 Roman to Integer  38.2% Easy
  - 206 Reverse Linked List  38.4% Easy
  - 169 Majority Element  40.2% Easy
  - 217 Contains Duplicate  40.5% Easy
  - 171 Excel Sheet Column Number  40.6% Easy
  - 242 Valid Anagram  41.0% Easy
  - 100 Same Tree  42.9% Easy
  - 283 Move Zeroes  43.5% Easy
  - 237 Delete Node in a Linked List  43.7% Easy
  - 226 Invert Binary Tree  44.1% Easy
  - 104 Maximum Depth of Binary Tree  47.3% Easy
  - 258 Add Digits  48.1% Easy
  - 292 Nim Game  51.6% Easy
  - ~~345 Reverse Vowels of a String 35.1% Easy~~

(15 / 264)
